[16/04/2019, 05:34: PM] CHAT: hey hey
[22/04/2019, 01:21: PM] CHAT: ifair?
[22/04/2019, 01:21: PM] CHAT: fair?
[22/04/2019, 01:21: PM] CHAT: i only have 6k bm
[22/04/2019, 01:21: PM] CHAT: hold on
[22/04/2019, 01:22: PM] CHAT: thats all i have
[22/04/2019, 01:22: PM] CHAT: lol
[22/04/2019, 01:22: PM] CHAT: tyvm
[22/04/2019, 01:26: PM] CC 'server': Nice!
[22/04/2019, 01:27: PM] CC 'server': Gratz
[22/04/2019, 01:28: PM] CC 'server': 25m?
[22/04/2019, 01:28: PM] CC 'server': For the only one ingame?
[22/04/2019, 01:28: PM] CC 'server': I've not seen any.
[22/04/2019, 01:31: PM] CC 'server': Vote page is down?
[22/04/2019, 01:31: PM] CC 'server': Hmm i click on vote and it just takes me to donate everytime
[22/04/2019, 01:32: PM] CC 'server': Ahh thank you
[22/04/2019, 01:54: PM] CC 'server': Welcome
[22/04/2019, 01:55: PM] CHAT: hey
[22/04/2019, 01:55: PM] CHAT: nope
[22/04/2019, 01:55: PM] CHAT: need peg crystal :(
[22/04/2019, 01:55: PM] CHAT: had 2 stones
[22/04/2019, 01:55: PM] CHAT: thats it so far
[22/04/2019, 01:57: PM] CHAT: know any good films to watch?
[22/04/2019, 01:57: PM] CHAT: umm
[22/04/2019, 01:58: PM] CHAT: have you seen, horrible bosses?
[22/04/2019, 01:58: PM] CHAT: lol
[22/04/2019, 01:58: PM] CHAT: are the smouldering stones worth anything?
[22/04/2019, 01:58: PM] CHAT: oh
[22/04/2019, 01:59: PM] CHAT: 62
[22/04/2019, 01:59: PM] CHAT: dont die
[22/04/2019, 01:59: PM] CHAT: :(
[22/04/2019, 01:59: PM] CHAT: ty ty
[22/04/2019, 01:59: PM] PM from [Miss B] to [Passiivine]: do you get a higher chance of drop if you're on task?
[22/04/2019, 02:00: PM] CC 'server': Everyone lol
[22/04/2019, 02:00: PM] CC 'server': I only put in 10m lol
[22/04/2019, 02:00: PM] PM from [Passiivine] to [Miss B]: i dont think so
[22/04/2019, 02:01: PM] PM from [Miss B] to [Passiivine]: ahh ok
[22/04/2019, 02:06: PM] CC 'server': Gz
[22/04/2019, 02:10: PM] CC 'server': Gz
[22/04/2019, 03:00: PM] CC 'server': Welcome
[22/04/2019, 03:04: PM] CHAT: what kind of mace?
[22/04/2019, 03:05: PM] CHAT: cant you just buy a scimitar?
[22/04/2019, 03:05: PM] CHAT: okay hold on
[22/04/2019, 03:06: PM] CHAT: its ok
[22/04/2019, 03:19: PM] CC 'server': Yay
[22/04/2019, 03:20: PM] CC 'server': Tyty
[22/04/2019, 03:20: PM] CC 'server': Lol nfs
[22/04/2019, 03:20: PM] CC 'server': Oh i missread
[22/04/2019, 03:38: PM] CC 'server': I will help if you want
[22/04/2019, 03:39: PM] CHAT: you ready?
[22/04/2019, 03:39: PM] CHAT: to what account?
[22/04/2019, 03:40: PM] CHAT: whats your alts name?
[22/04/2019, 03:40: PM] CHAT: mari
[22/04/2019, 03:42: PM] CHAT: ok
[22/04/2019, 03:43: PM] CHAT: lol
[22/04/2019, 03:43: PM] CHAT: me
[22/04/2019, 03:43: PM] CHAT: lol
[22/04/2019, 03:43: PM] CHAT: np
[22/04/2019, 03:43: PM] CHAT: muhahahah scammed
[22/04/2019, 03:44: PM] CHAT: only joking lol
[22/04/2019, 03:48: PM] CC 'server': Nope
[22/04/2019, 03:49: PM] CC 'server': ^
[22/04/2019, 03:50: PM] CC 'server': Cringe lol.
[22/04/2019, 03:50: PM] CC 'server': Oh shh
[22/04/2019, 03:51: PM] CC 'server': Impressive.
[22/04/2019, 03:52: PM] CC 'server': So he didnt spend that much?
[22/04/2019, 03:52: PM] CC 'server': Lol
[22/04/2019, 03:53: PM] CC 'server': Maybe just leave the donations and stuff to bob and Zin 
[22/04/2019, 03:53: PM] CC 'server': L0l!
[22/04/2019, 04:01: PM] CC 'server': Gz
[22/04/2019, 04:18: PM] CC 'server': Ty ty
[22/04/2019, 04:18: PM] CC 'server': Yes
[22/04/2019, 04:23: PM] CC 'server': Gz
[22/04/2019, 04:43: PM] CC 'server': Gz
[22/04/2019, 05:00: PM] CC 'server': Gz
[22/04/2019, 05:11: PM] CC 'server': Wb
[22/04/2019, 05:28: PM] CHAT: staxxie
[22/04/2019, 05:28: PM] CHAT: how did you get rangers?
[22/04/2019, 05:28: PM] CHAT: yeah lol
[22/04/2019, 05:30: PM] CHAT: i only have junk lol
[22/04/2019, 05:30: PM] CHAT: but this is it anyway
[22/04/2019, 05:30: PM] CHAT: i have no idea
[22/04/2019, 05:31: PM] CHAT: yeah let me know
[22/04/2019, 05:31: PM] CHAT: i have 1 more
[22/04/2019, 05:31: PM] CHAT: just incase
[22/04/2019, 05:31: PM] CHAT: nice :p
[22/04/2019, 05:32: PM] CHAT: got 1 more
[22/04/2019, 05:32: PM] CHAT: and prims
[22/04/2019, 05:32: PM] CHAT: but going for pegs now
[22/04/2019, 06:04: PM] CHAT: agil lvl?
[22/04/2019, 06:05: PM] CHAT: probably lol
[22/04/2019, 06:08: PM] CHAT: when does the money drop
[22/04/2019, 06:08: PM] CHAT: whats the pot?
[22/04/2019, 06:09: PM] CHAT: gp is pretty worthless on here anyway
[22/04/2019, 06:09: PM] CHAT: imo
[22/04/2019, 06:10: PM] CHAT: that's why i refuse to donate for dr or anything else
[22/04/2019, 06:10: PM] CHAT: lol
[22/04/2019, 06:10: PM] CHAT: the bow allows me to grind every boss
[22/04/2019, 06:11: PM] PM from [Miss B] to [Staxxie]: pm cause you're too fast lol
[22/04/2019, 06:12: PM] PM from [Staxxie] to [Miss B]: lol xd
[22/04/2019, 06:12: PM] PM from [Staxxie] to [Miss B]: 7mins left
[22/04/2019, 06:13: PM] PM from [Miss B] to [Staxxie]: 7 mins till what?
[22/04/2019, 06:13: PM] PM from [Staxxie] to [Miss B]: event end
[22/04/2019, 06:13: PM] PM from [Miss B] to [Staxxie]: ow :(
[22/04/2019, 06:18: PM] PM from [Miss B] to [Staxxie]: 1 last lap pleaseeeeee
[22/04/2019, 06:18: PM] CHAT: cmoin
[22/04/2019, 06:18: PM] CHAT: you can make it
[22/04/2019, 06:18: PM] CHAT: lol
[22/04/2019, 06:21: PM] CHAT: tbow is good there
[22/04/2019, 06:58: PM] CHAT: am i the only one who sorts my entire bank out on a rsps?
[22/04/2019, 06:58: PM] CHAT: lol 
[22/04/2019, 06:58: PM] CHAT: ok good
[22/04/2019, 06:58: PM] CHAT: i felt special lol
[22/04/2019, 07:11: PM] CC 'server': Gz and hey inject
[22/04/2019, 07:11: PM] CC 'server': Doing okay, slowly grinding cerb for pegs lol
[22/04/2019, 07:12: PM] CC 'server': Did get prims already :p
[22/04/2019, 07:13: PM] CC 'server': 185
[22/04/2019, 07:14: PM] CC 'server': Not that i've see
[22/04/2019, 07:14: PM] CC 'server': But i've been hogging cerb with tbow lol
[22/04/2019, 07:15: PM] CC 'server': 100 so far
[22/04/2019, 07:17: PM] CC 'server': When i go off tonight
[22/04/2019, 07:17: PM] CC 'server': I'll lend you tbow
[22/04/2019, 07:17: PM] CC 'server': Until i get online tomroow
[22/04/2019, 07:17: PM] CC 'server': Tomorrow
[22/04/2019, 07:17: PM] CC 'server': Yes im sure
[22/04/2019, 07:17: PM] CC 'server': I'll give you some
[22/04/2019, 07:18: PM] CC 'server': :)
[22/04/2019, 07:31: PM] CC 'server': Wb
[22/04/2019, 07:40: PM] CC 'server': Junk
[22/04/2019, 07:42: PM] CC 'server': So you donated for just droprate
[22/04/2019, 07:42: PM] CC 'server': Lol
[22/04/2019, 07:42: PM] CC 'server': Muppet
[22/04/2019, 07:43: PM] CC 'server': Cerb needs balancing so bad
[22/04/2019, 07:47: PM] CC 'server': I have a spare 
[22/04/2019, 07:47: PM] CC 'server': If you want
[22/04/2019, 07:47: PM] CC 'server': Let me finish kill
[22/04/2019, 07:50: PM] CC 'server': Im at home
[22/04/2019, 07:52: PM] CC 'server': What time will it be?
[22/04/2019, 07:52: PM] CC 'server': Is it 2am uk time?
[22/04/2019, 07:53: PM] CHAT: np<3
[22/04/2019, 07:53: PM] CHAT: umm
[22/04/2019, 07:53: PM] CHAT: i've done a little
[22/04/2019, 07:53: PM] CHAT: like 70 craft
[22/04/2019, 07:53: PM] CHAT: 45 smith
[22/04/2019, 07:53: PM] CHAT: 91 agil
[22/04/2019, 07:53: PM] CHAT: but i'll focus on maxing 
[22/04/2019, 07:53: PM] CHAT: when i've got my gear
[22/04/2019, 07:53: PM] CHAT: :p
[22/04/2019, 07:55: PM] CHAT: yeah thats nice :p
[22/04/2019, 07:55: PM] CHAT: im not sure
[22/04/2019, 07:55: PM] CHAT: check archers helm
[22/04/2019, 07:56: PM] CHAT: it may be slightly better helm
[22/04/2019, 07:56: PM] CHAT: or is that morrigans?
[22/04/2019, 07:56: PM] CHAT: oh
[22/04/2019, 07:56: PM] CHAT: ahha
[22/04/2019, 07:56: PM] CHAT: come to cerb
[22/04/2019, 07:56: PM] CHAT: and watch the tbow :p
[22/04/2019, 07:56: PM] CHAT: for 1 kill
[22/04/2019, 07:57: PM] CHAT: this is without d arrows
[22/04/2019, 07:57: PM] CHAT: its not hitting!
[22/04/2019, 07:57: PM] CHAT: :(
[22/04/2019, 07:57: PM] CHAT: move lol
[22/04/2019, 08:06: PM] CC 'server': Wb
[22/04/2019, 08:11: PM] CC 'server': Gz
[22/04/2019, 08:13: PM] CC 'server': At least you didnt just do 5 cerb kills with barrows gloves on
[22/04/2019, 08:13: PM] CC 'server': And full void
[22/04/2019, 08:14: PM] CC 'server': And was thinking why is my bow broken lol
[22/04/2019, 08:15: PM] CC 'server': Lol
[22/04/2019, 08:24: PM] CC 'server': Inject has a poopy bum
[22/04/2019, 08:24: PM] CC 'server': L0l
[22/04/2019, 08:28: PM] CC 'server': Inject im heading off
[22/04/2019, 08:28: PM] CC 'server': You want to come get this bow
[22/04/2019, 08:28: PM] CHAT: okay no problem :)
[22/04/2019, 08:28: PM] CHAT: enjoy it :p
[22/04/2019, 08:28: PM] CHAT: np 
[22/04/2019, 08:29: PM] CC 'server': Goodnight everyone xx
[22/04/2019, 08:29: PM] CHAT: gn :)
[22/04/2019, 08:29: PM] CHAT: you too!
[23/04/2019, 04:35: PM] CC 'server': Yaya, bet you're happy now!
[23/04/2019, 07:42: PM] CC 'server': Helloooo
[23/04/2019, 07:42: PM] CC 'server': Internets really bad this week :9
[24/04/2019, 03:35: PM] CC 'server': Thanks!
[24/04/2019, 03:35: PM] CHAT: nope :(
[24/04/2019, 05:08: PM] CC 'server': Wb 
[24/04/2019, 07:24: PM] CC 'server': Cant believe i lost my row to a dc, what a joke :(
[24/04/2019, 07:25: PM] CC 'server': I have 5 rows not (i)'s
[24/04/2019, 07:25: PM] CC 'server': And just lost 1.9k of dragon arrows
[24/04/2019, 07:25: PM] CC 'server': Rip
[24/04/2019, 07:25: PM] PM from [94] to [Miss B]: i'll refund a scroll and 1k d arrows in a moment.
[25/04/2019, 07:34: PM] CHAT: need my cash lol
[25/04/2019, 07:35: PM] CHAT: now what?
[25/04/2019, 07:35: PM] CHAT: ahh
[25/04/2019, 07:35: PM] CHAT: ty
[26/04/2019, 04:14: PM] CHAT: oh hey
[26/04/2019, 04:14: PM] CHAT: how are you?
[26/04/2019, 04:14: PM] CHAT: :d
[26/04/2019, 04:14: PM] CHAT: im good too
[26/04/2019, 04:14: PM] CHAT: thanks for asking :)
[26/04/2019, 04:15: PM] CHAT: how do you know when theres the bonus xp thing 
[26/04/2019, 04:15: PM] CHAT: for 1 skill
[26/04/2019, 04:15: PM] CC 'server': Oki
[26/04/2019, 04:16: PM] CC 'server': G
[26/04/2019, 04:16: PM] CC 'server': Gz
[26/04/2019, 04:25: PM] CC 'server': Can i let you know before you upload
[26/04/2019, 04:25: PM] CC 'server': I think they will be poop
[26/04/2019, 04:25: PM] CC 'server': :d
[26/04/2019, 04:27: PM] CHAT: moron :p
[26/04/2019, 04:27: PM] CC 'server': Hehehehe
[26/04/2019, 04:29: PM] CHAT: :d
[26/04/2019, 04:29: PM] CC 'server': You're so rude lol
[26/04/2019, 04:29: PM] CC 'server': You dont even let me reply before you run off again
[26/04/2019, 04:29: PM] CC 'server': :(
[26/04/2019, 04:30: PM] CC 'server': Hahaha
[26/04/2019, 07:54: PM] CC 'server': Ty
[27/04/2019, 08:31: PM] CC 'server': Keep getting dc'ed :(
[27/04/2019, 08:53: PM] CC 'server': Forgot my tbow
[27/04/2019, 08:53: PM] CC 'server': Im taking it with me
[27/04/2019, 08:53: PM] CC 'server': Then i quit
[27/04/2019, 08:54: PM] CHAT: ok
[27/04/2019, 08:54: PM] CHAT: :p
[27/04/2019, 08:54: PM] CHAT: they can be little friends
[27/04/2019, 08:54: PM] CHAT: :d
[27/04/2019, 08:55: PM] CHAT: they are basically cousins
[27/04/2019, 08:55: PM] CHAT: i think
[27/04/2019, 08:55: PM] CHAT: maybe
[27/04/2019, 08:55: PM] CHAT: your's might be mines dad
[28/04/2019, 12:38: PM] CHAT: happy sunday!
[28/04/2019, 12:38: PM] CHAT: how are you?
[28/04/2019, 12:38: PM] CHAT: im good thanks :d
[28/04/2019, 05:32: PM] PM from [Miss B] to [Inject]: tekton?
[28/04/2019, 05:33: PM] PM from [Inject] to [Miss B]: in a lil bit
[28/04/2019, 05:33: PM] PM from [Miss B] to [Inject]: ok
[28/04/2019, 05:33: PM] CHAT: you will literally get
[28/04/2019, 05:33: PM] CHAT: 60 d arrows
[28/04/2019, 05:33: PM] CHAT: and a row 
[28/04/2019, 05:34: PM] CHAT: lol
[28/04/2019, 05:34: PM] CHAT: nope
[29/04/2019, 07:23: PM] CHAT: hiya
[29/04/2019, 07:23: PM] CHAT: servers slowly dying?
[29/04/2019, 07:24: PM] CHAT: yeah it does
[29/04/2019, 07:24: PM] CHAT: badly
[01/05/2019, 08:46: PM] CC 'server': Hello ahmed :d
[02/05/2019, 06:31: PM] CC 'server': Hey you!
[02/05/2019, 06:32: PM] CHAT: how have you been?
[02/05/2019, 06:32: PM] CHAT: oh lol
[02/05/2019, 06:32: PM] CHAT: i can take it 
[02/05/2019, 06:32: PM] CHAT: and give it to you
[02/05/2019, 06:32: PM] CHAT: when you get on?
[02/05/2019, 08:09: PM] CC 'server': Hey poopy
[02/05/2019, 08:10: PM] CC 'server': How are you?
[02/05/2019, 08:10: PM] CC 'server': Ahh good, not bad either :d
[14/05/2019, 07:31: AM] CC 'server': Thank you!
[14/05/2019, 10:48: AM] CHAT: no u
[15/05/2019, 12:33: PM] CHAT: revs?
